U.S.A.;Washington;K,W,N und A;Nordamerika;553523;313900000;6701;296;340;20
U.S.A.;Washington;K,W,N und A;Nordamerika;553523;313900000;6701;296;340;20
Italien;Rom;I;Europa;2550982;60900000;1184;183;338;12
Spanien;Madrid;EA - EH;Europa;3233054;46200000;1872;230;337;3
Russland;Moskau;RA - RZ und UA - UI;Europa;10406578;143200000;1611;67;335;8
Frankreich;Paris;F;Europa;2138551;63600000;871;246;334;2
Brasilien;Brasilia;PP - PY;Südamerika;2455903;194300000;9696;237;332;1
Niederlande;Amsterdam;PA - PI;Europa;743411;16700000;571;271;330;3
Großbritannien;London;G,M, VP - VS;Europa;7554236;63200000;933;268;329;8
Tschechien;Prag;OK - OL;Europa;1184075;10500000;281;50;321;4
Australien;Canberra;VH - VN;Ozeanien;332798;22000000;16060;78;318;1
Rumänien;Bukarest;YO - YR;Europa;1;20121641;1297;128;311;2
Türkei;Ankara;TA -TC;Europa / Asien;1;76667864;2040;125;283;2
Argentinien;Buenos Aires;LO - LW;Südamerika;1;40518425;11896;234;303;2
State;Capital;Callsignprefix;Continent;Capital pop;Total Pop;distance;heading;dxcc;contacts in 2014
